"areacd","category","value"
"E09000032","Aged 65+",26563
"E09000033","Aged 0 to 15",30716
"E09000033","Aged 16 to 64",161916
"E09000033","Aged 65+",24348
"E06000035","Aged 0 to 15",53290
"E06000035","Aged 16 to 64",171524
"E06000035","Aged 65+",35416
"E06000036","Aged 0 to 15",22919
"E06000036","Aged 16 to 64",75431
"E06000036","Aged 65+",13566
"E06000037","Aged 0 to 15",30792
"E06000037","Aged 16 to 64",99895
"E06000037","Aged 65+",22352
"E06000038","Aged 0 to 15",28574
"E06000038","Aged 16 to 64",106100
"E06000038","Aged 65+",17652
"E06000039","Aged 0 to 15",31245
"E06000039","Aged 16 to 64",90566
"E06000039","Aged 65+",12931
"E06000040","Aged 0 to 15",27907
"E06000040","Aged 16 to 64",91675
"E06000040","Aged 65+",22842
"E06000041","Aged 0 to 15",31139
"E06000041","Aged 16 to 64",100531
"E06000041","Aged 65+",22495
"E06000042","Aged 0 to 15",52497
"E06000042","Aged 16 to 64",161765
"E06000042","Aged 65+",25916
"E06000043","Aged 0 to 15",43522
"E06000043","Aged 16 to 64",186530
"E06000043","Aged 65+",35532
"E06000044","Aged 0 to 15",36193
"E06000044","Aged 16 to 64",135762
"E06000044","Aged 65+",27028
"E06000045","Aged 0 to 15",39728
"E06000045","Aged 16 to 64",159975
"E06000045","Aged 65+",30314
"E06000046","Aged 0 to 15",23097
"E06000046","Aged 16 to 64",83174
"E06000046","Aged 65+",32090
"E06000060","Aged 0 to 15",101102
"E06000060","Aged 16 to 64",317155
"E06000060","Aged 65+",80556
"E07000061","Aged 0 to 15",16793
"E07000061","Aged 16 to 64",59399
"E07000061","Aged 65+",22036
"E07000062","Aged 0 to 15",16951
"E07000062","Aged 16 to 64",57331
"E07000062","Aged 65+",15011
"E07000063","Aged 0 to 15",16635
"E07000063","Aged 16 to 64",57781
"E07000063","Aged 65+",21698
"E07000064","Aged 0 to 15",14362
"E07000064","Aged 16 to 64",50516
"E07000064","Aged 65+",25245
"E07000065","Aged 0 to 15",26350
"E07000065","Aged 16 to 64",87420
"E07000065","Aged 65+",32842
"E07000084","Aged 0 to 15",33054
"E07000084","Aged 16 to 64",108296
"E07000084","Aged 65+",22785
"E07000085","Aged 0 to 15",21830
"E07000085","Aged 16 to 64",71471
"E07000085","Aged 65+",20960
"E07000086","Aged 0 to 15",23101
"E07000086","Aged 16 to 64",79398
"E07000086","Aged 65+",19878
"E07000087","Aged 0 to 15",19719
"E07000087","Aged 16 to 64",69210
"E07000087","Aged 65+",21903
"E07000088","Aged 0 to 15",15881
"E07000088","Aged 16 to 64",52485
"E07000088","Aged 65+",13595
"E07000089","Aged 0 to 15",18260
"E07000089","Aged 16 to 64",58707
"E07000089","Aged 65+",14019
"E07000090","Aged 0 to 15",21829
"E07000090","Aged 16 to 64",73020
"E07000090","Aged 65+",24545
"E07000091","Aged 0 to 15",28915
"E07000091","Aged 16 to 64",103886
"E07000091","Aged 65+",42631
"E07000092","Aged 0 to 15",18594
"E07000092","Aged 16 to 64",62810
"E07000092","Aged 65+",11168
"E07000093","Aged 0 to 15",22034
"E07000093","Aged 16 to 64",73224
"E07000093","Aged 65+",19993
"E07000094","Aged 0 to 15",21199
